,investment_sector
ADBE,US Large Cap Growth
AMD,US Large Cap Growth
GOOGL,US Large Cap Growth
AMZN,US Large Cap Growth
AMT,US Large Cap Growth
ANSS,US Large Cap Growth
ADSK,US Large Cap Growth
BKNG,US Large Cap Growth
BSX,US Large Cap Growth
CDNS,US Large Cap Growth
CHTR,US Large Cap Growth
CMG,US Large Cap Growth
CSGP,US Large Cap Growth
CCI,US Large Cap Growth
DXCM,US Large Cap Growth
DOCU,US Large Cap Growth
EW,US Large Cap Growth
EQIX,US Large Cap Growth
FB,US Large Cap Growth
FAST,US Large Cap Growth
IDXX,US Large Cap Growth
ILMN,US Large Cap Growth
INTU,US Large Cap Growth
ISRG,US Large Cap Growth
LULU,US Large Cap Growth
MA,US Large Cap Growth
MELI,US Large Cap Growth
MSFT,US Large Cap Growth
MRNA,US Large Cap Growth
MNST,US Large Cap Growth
MCO,US Large Cap Growth
MSCI,US Large Cap Growth
NFLX,US Large Cap Growth
NKE,US Large Cap Growth
NVDA,US Large Cap Growth
OKTA,US Large Cap Growth
PYPL,US Large Cap Growth
REGN,US Large Cap Growth
RMD,US Large Cap Growth
RNG,US Large Cap Growth
ROP,US Large Cap Growth
CRM,US Large Cap Growth
SBAC,US Large Cap Growth
SGEN,US Large Cap Growth
NOW,US Large Cap Growth
SNAP,US Large Cap Growth
SPLK,US Large Cap Growth
SQ,US Large Cap Growth
SNPS,US Large Cap Growth
TSLA,US Large Cap Growth
TWLO,US Large Cap Growth
VEEV,US Large Cap Growth
VRSN,US Large Cap Growth
VRTX,US Large Cap Growth
V,US Large Cap Growth
WDAY,US Large Cap Growth
ZTS,US Large Cap Growth
ZM,US Large Cap Growth
MMM,US Large Cap Value
ABBV,US Large Cap Value
AFL,US Large Cap Value
ALL,US Large Cap Value
MO,US Large Cap Value
AEP,US Large Cap Value
AIG,US Large Cap Value
AMGN,US Large Cap Value
T,US Large Cap Value
BAC,US Large Cap Value
BK,US Large Cap Value
BIIB,US Large Cap Value
BLK,US Large Cap Value
BA,US Large Cap Value
BMY,US Large Cap Value
COF,US Large Cap Value
CSCO,US Large Cap Value
C,US Large Cap Value
CME,US Large Cap Value
KO,US Large Cap Value
CL,US Large Cap Value
